name,full_height,observatory_height,lat,lng
東京スカイツリー,634,451.2,35.70998,139.810643
東京タワー,332.6,250,35.658617,139.745552
福岡タワー,234,123,33.593331,130.351525
名古屋テレビ塔,180,100,35.17155,136.907637
梅田スカイビル,173,170,34.705374,135.490524
ゴールドタワー,158,127,34.31177,133.808595
海峡ゆめタワー,153,143,33.95065,130.928888
さっぽろテレビ塔,147.2,90.38,43.061132,141.35639
秋田市ポートタワー,143,100,39.75176,140.061947
ツインアーチ138,138,100,35.357704,136.80906
東山スカイタワー,134,100,35.156694,136.97884
瀬戸大橋タワー,132,108,34.352083,133.825236
千葉ポートタワー,125,112,35.600432,140.097845
クロスランドタワー,118,100,36.656613,136.87863
神戸ポートタワー,108,90.8,34.684904,135.18552
五稜郭タワー,107,90,41.794766,140.754021
横浜マリンタワー,106,100,35.446179,139.635689
通天閣,103,91,34.651962,135.506152
別府タワー,90,55,33.281325,131.506216
銚子ポートタワー,57.5,46.95,35.740915,140.862859
東尋坊タワー,55,52,36.166928,136.231465
夢みなとタワー,43,37,35.519779,133.259184
